,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,Ad Name,Date première diffusion,Date dernière diffusion,Durée (jour),SUM de Impr,SUM de Cost,SUM de Clic,Signup,Total 2-sec views,Total Install,Total Signup,,,,,,,,,,,
2026-01-14,7592953639335034888,09/01,03/02,26,96 001,116,264,33,18 214,23,10,,,,,,,,,,,
2026-01-14,Passe ton permis avec ORNIKAR @Ornikar,09/01,27/01,19,89 765,105,220,48,29 452,30,18,,,,,,,,,,,
2026-01-14,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,68 290,91,246,26,17 155,18,8,,,,,,,,,,,
2026-01-14,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,62 434,67,167,36,12 973,20,16,,,,,,,,,,,
2026-01-14,@Ornikar #ornikar,09/01,13/02,36,11 628,18,51,3,2 042,2,1,,,,,,,,,,,
2026-01-14,@Ornikar #ornikar #collab #permisdeconduire,09/01,27/01,19,11 481,14,27,2,2 839,1,1,,,,,,,,,,,
2026-01-15,Allons pour le permis en 2026,09/01,16/04,98,587 693,861,1 616,185,105 206,129,56,,,,,,,,,,,
2026-01-15,Et tout ça bien moins cher #permis#ornikar#,09/01,03/02,26,314 267,480,742,103,63 182,72,31,,,,,,,,,,,
2026-01-15,Passe ton permis avec ORNIKAR @Ornikar,09/01,27/01,19,231 467,274,539,95,74 369,78,17,,,,,,,,,,,
2026-01-15,#CapCut,01/01,16/02,47,199 235,267,719,85,30 953,53,32,,,,,,,,,,,
2026-01-15,_001,04/01,03/04,93,147 358,172,348,57,29 701,36,21,,,,,,,,,,,
2026-01-15,#bonplan #permis #ornikar #conduite #code,05/01,05/06,152,118 901,154,277,53,29 987,37,16,,,,,,,,,,,
2026-01-15,7592953639335034888,09/01,03/02,26,95 226,108,210,17,17 794,12,5,,,,,,,,,,,
2026-01-15,Alors c’est vraiment pas seulement pour la #collab j’attends mes résultats et je vous laisserai savoir dès que je les ai haha,01/01,15/04,105,92 968,96,251,51,16 295,30,21,,,,,,,,,,,
2026-01-15,Meilleure astuce @Ornikar #ornikar #cpf #permisdeconduire #publicite,05/01,20/02,47,60 610,82,188,20,15 161,16,4,,,,,,,,,,,
2026-01-15,@Ornikar #ornikar #collab #permisdeconduire,09/01,27/01,19,23 238,27,52,10,5 382,5,5,,,,,,,,,,,
2026-01-15,@Ornikar #ornikar,09/01,13/02,36,10 001,17,27,4,1 851,2,2,,,,,,,,,,,
2026-01-16,Allons pour le permis en 2026,09/01,16/04,98,479 396,708,1 351,132,83 811,87,45,,,,,,,,,,,
2026-01-16,Et tout ça bien moins cher #permis#ornikar#,09/01,03/02,26,336 540,502,818,89,65 208,63,26,,,,,,,,,,,
